jurisdiction,slug,kind,region,field,field_label,value,source,source_is_secondary,conflict
Rajasthan,rajasthan,state,North,actName,Governing Act,"Rajasthan Shops and Commercial Establishments Act, 1958 (Act 31 of 1958), as amended by the Amendment Act, 2026 (Act 5 of 2026) — deemed in force from 17 December 2025",https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false,
Rajasthan,rajasthan,state,North,dailyHours,Maximum daily hours,"10 hours (s.7(1), raised from 9 by the 2026 amendment). A proviso caps total hours including overtime at 10 per day, except on stock-taking and accounts days",https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false,
Rajasthan,rajasthan,state,North,weeklyHours,Maximum weekly hours,"48 hours (s.7(1), unamended)","https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false,
Rajasthan,rajasthan,state,North,spreadOver,Spread-over limit,"12 hours in any day, inclusive of the rest interval (s.10, unamended)","https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false,
Rajasthan,rajasthan,state,North,restInterval,Rest interval,"At least 30 minutes, and no work period may exceed 6 hours before it (s.9 — the 2026 amendment replaced “five” with “six”)",https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false,
Rajasthan,rajasthan,state,North,overtimeRate,Overtime rate,"1.5× the ordinary rate of wages (s.8(1)). Note: s.8 was not amended, so the premium still triggers past 9 hours a day even though s.7 now permits 10","https://www.indiacode.nic.in/bitstream/123456789/18868/1/the_rajasthan_shops_and_commercial_establishments_act,_1958.pdf",false,
Rajasthan,rajasthan,state,North,overtimeCap,Overtime cap,"144 hours per quarter (s.7(1) second proviso, raised from 50 by the 2026 amendment)",https://prsindia.org/files/bills_acts/bills_states/rajasthan/2026/Bill5of2026RJ.pdf,false,
Rajasthan,rajasthan,state,North,weeklyOff,Weekly off,One day per week. Notification S.O.20 of 19 June 2026 exempts registered establishments from ss.11(1) and 12(1) on condition that one day's paid weekly rest is given in rotation; s.12(3) (one whole rest day per employee per week) remains in force,https://labour.rajasthan.gov.in/notification.aspx,false,
Rajasthan,rajasthan,state,North,womenNightShift,Women on night shifts,"Prohibited by s.22 by default (“night” defined in s.2(11) as ≥12 consecutive hours including 10pm–6am), lifted for registered shops and commercial establishments by exemption under s.3(2)",https://labour.rajasthan.gov.in/notification.aspx,false,
Rajasthan,rajasthan,state,North,itExemption,IT/ITES exemption,"No IT/ITES-specific exemption exists. Rajasthan grants economy-wide exemptions to all registered shops and commercial establishments instead, so IT firms are covered as commercial establishments rather than by sector",https://labour.rajasthan.gov.in/notification.aspx,false,
